id,location,fault_severity,severity_type,num_events,num_resources,total_log_volume
14121,118,1,2,2,1,38
9320,91,0,2,2,1,316
14394,152,1,2,2,1,2
8218,931,1,1,2,1,22
14804,120,0,1,4,2,12
1080,664,0,1,1,1,16
9731,640,0,4,1,1,3
15505,122,0,2,2,1,14
3443,263,1,2,2,1,2
13300,613,1,1,2,1,31
8976,760,1,1,2,1,5
7965,519,0,2,2,1,2
10342,746,0,1,2,2,8
6741,1066,1,1,2,2,6
7187,812,0,1,1,1,17
16780,343,0,2,1,1,2
14195,133,0,2,2,1,4
14025,976,0,1,2,2,7
8548,948,1,1,2,2,2
9566,808,0,1,2,1,9
15652,894,0,1,4,1,172
3931,875,0,1,1,1,6
4557,1024,0,2,1,1,1
3610,166,0,4,1,1,1
16574,687,0,4,1,1,1
7504,1016,1,1,1,1,2
9735,707,0,2,1,1,10
14048,978,1,1,2,1,3
6769,775,0,1,2,1,7
2514,829,0,2,1,1,6
896,732,0,1,1,1,2
4757,508,0,2,2,1,103
16358,257,1,1,1,1,2
11810,116,0,2,2,1,6
7274,830,1,1,1,1,4
2972,491,0,2,2,1,4
7392,253,0,2,2,1,10
6824,740,0,2,1,1,2
4311,704,2,1,2,1,51
12261,1089,2,1,1,1,29
14752,653,0,2,2,1,6
14992,600,2,2,1,1,3
967,892,2,1,3,1,27
8059,802,0,4,1,1,2
13406,794,0,1,4,4,10
11424,477,0,2,2,1,162
3945,684,2,2,1,1,63
10351,895,2,1,3,1,262
2272,496,0,2,2,1,53
10752,321,1,2,2,1,6
17096,1107,2,1,2,1,674
17314,1086,2,2,1,1,30
12770,895,1,1,3,1,38
3304,1099,1,2,1,1,8
9012,975,0,1,1,1,2
9928,1019,2,2,1,1,94
297,812,2,1,2,2,23
5751,342,0,2,2,1,7
17692,744,1,2,2,2,3
3688,181,0,4,1,1,3
3425,1086,1,2,1,1,23
7871,1052,1,1,2,1,14
10013,696,0,2,1,1,2
13832,1008,1,2,1,1,14
11743,798,1,2,1,1,17
10099,760,1,1,2,2,128
16682,777,1,2,1,1,5
10156,95,1,2,2,1,26
16154,699,0,5,1,1,1
14176,272,1,1,2,1,5
14964,704,2,2,1,1,35
12896,613,2,1,2,1,17
7288,846,2,2,1,1,47
15882,795,0,1,2,1,191
12441,826,1,1,3,3,20
17248,112,0,2,3,2,5
16745,778,0,2,1,1,2
5315,810,0,1,2,1,13
17118,895,1,1,2,1,2
7725,690,0,1,1,1,4
2311,494,0,1,5,2,20
4292,1095,0,2,1,1,1
15773,445,0,2,2,1,14
6531,478,0,2,2,1,219
16009,661,0,2,2,2,2
11930,380,0,2,2,1,11
8541,242,0,2,2,1,14
11019,1082,0,1,1,1,5
8274,181,0,2,2,1,8
722,1007,0,1,2,1,5
12305,131,1,2,2,1,2
11444,1007,1,1,2,1,18
4006,931,1,1,2,1,10
9231,980,1,1,1,1,2
6821,118,0,1,3,1,27
12888,373,0,2,1,1,1
6779,169,0,2,2,1,5
